股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key
2013,中鋼構,2026-06-10 23:13:44,False,,,,,,,,,,,
2014,中鴻,2026-06-10 23:13:44,False,,,,,,,,,,,
2020,美亞,2026-06-10 23:13:44,False,,,,,,,,,,,
2017,官田鋼,2026-06-10 23:13:44,False,,,,,,,,,,,
2022,聚亨,2026-06-10 23:13:44,False,,,,,,,,,,,
2028,威致,2026-06-10 23:13:44,False,,,,,,,,,,,
2023,燁輝,2026-06-10 23:13:44,False,,,,,,,,,,,
2027,大成鋼,2026-06-10 23:13:44,False,,,,,,,,,,,
2024,志聯,2026-06-10 23:13:44,False,,,,,,,,,,,
2025,千興,2026-06-10 23:13:44,False,,,,,,,,,,,
2029,盛餘,2026-06-10 23:13:44,False,,,,,,,,,,,
2032,新鋼,2026-06-10 23:13:44,False,,,,,,,,,,,
2030,彰源,2026-06-10 23:13:44,False,,,,,,,,,,,
2033,佳大,2026-06-10 23:13:44,False,,,,,,,,,,,
2031,新光鋼,2026-06-10 23:13:44,False,,,,,,,,,,,
2038,海光,2026-06-10 23:13:44,False,,,,,,,,,,,
2069,運錩,2026-06-10 23:13:44,False,,,,,,,,,,,
2049,上銀,2026-06-10 23:13:44,False,,,,,,,,,,,
2034,允強,2026-06-10 23:13:44,False,,,,,,,,,,,
2062,橋椿,2026-06-10 23:13:44,False,,,,,,,,,,,
2059,川湖,2026-06-10 23:13:44,False,,,,,,,,,,,
2104,國際中橡,2026-06-10 23:13:44,False,,,,,,,,,,,
2103,台橡,2026-06-10 23:13:44,False,,,,,,,,,,,
2072,世紀風電,2026-06-10 23:13:44,False,,,,,,,,,,,
2102,泰豐,2026-06-10 23:13:44,False,,,,,,,,,,,
2101,南港,2026-06-10 23:13:44,False,,,,,,,,,,,
2114,鑫永銓,2026-06-10 23:13:44,False,,,,,,,,,,,
2105,正新,2026-06-10 23:13:44,False,,,,,,,,,,,
2107,厚生,2026-06-10 23:13:44,False,,,,,,,,,,,
2109,華豐,2026-06-10 23:13:44,False,,,,,,,,,,,
2106,建大,2026-06-10 23:13:44,False,,,,,,,,,,,
2108,南帝,2026-06-10 23:13:44,False,,,,,,,,,,,
2207,和泰車,2026-06-10 23:13:44,False,,,,,,,,,,,
2206,三陽工業,2026-06-10 23:13:44,False,,,,,,,,,,,
2201,裕隆,2026-06-10 23:13:44,False,,,,,,,,,,,
2204,中華,2026-06-10 23:13:44,False,,,,,,,,,,,
